iter	Passed	Remaining
422	2267	3092
423	2273	3087
424	2278	3082
425	2283	3076
426	2288	3070
427	2293	3064
428	2298	3059
429	2303	3053
430	2308	3047
431	2313	3041
432	2318	3035
433	2323	3029
434	2328	3024
435	2333	3018
436	2338	3012
437	2343	3007
438	2348	3001
439	2353	2995
440	2358	2989
441	2362	2983
442	2367	2977
443	2373	2972
444	2381	2970
445	2388	2966
446	2395	2963
447	2400	2957
448	2405	2952
449	2410	2946
450	2416	2942
451	2421	2935
452	2426	2930
453	2432	2924
454	2436	2918
455	2441	2912
456	2446	2907
457	2451	2901
458	2457	2896
459	2462	2890
460	2467	2885
461	2472	2879
462	2478	2874
463	2483	2868
464	2489	2863
465	2494	2858
466	2499	2852
467	2504	2847
468	2509	2841
469	2514	2835
470	2519	2829
471	2525	2825
472	2530	2819
473	2535	2814
474	2541	2808
475	2546	2803
476	2551	2797
477	2557	2792
478	2562	2787
479	2569	2783
480	2576	2779
481	2581	2774
482	2586	2768
483	2591	2762
484	2596	2757
485	2601	2751
486	2606	2745
487	2611	2740
488	2616	2734
489	2622	2729
490	2627	2723
491	2632	2718
492	2638	2713
493	2643	2707
494	2648	2701
495	2653	2696
496	2658	2690
497	2663	2684
498	2668	2679
499	2673	2673
500	2679	2668
501	2685	2664
502	2691	2658
503	2695	2653
504	2700	2647
505	2705	2641
506	2712	2637
507	2717	2631
508	2722	2626
509	2728	2621
510	2733	2615
511	2738	2610
512	2743	2604
513	2748	2599
514	2754	2593
515	2759	2588
516	2764	2582
517	2769	2576
518	2775	2571
519	2781	2567
520	2786	2562
521	2792	2556
522	2797	2551
523	2802	2545
524	2808	2540
525	2812	2534
526	2817	2529
527	2822	2523
528	2828	2517
529	2833	2512
530	2837	2506
531	2842	2500
532	2847	2495
533	2853	2490
534	2858	2484
535	2863	2478
536	2868	2473
537	2873	2467
538	2879	2462
539	2884	2457
540	2890	2452
541	2896	2447
542	2901	2441
543	2905	2435
544	2910	2430
545	2916	2424
546	2921	2419
547	2925	2413
548	2931	2407
549	2937	2403
550	2943	2398
551	2949	2393
552	2955	2388
553	2960	2383
554	2965	2377
555	2972	2373
556	2976	2367
557	2982	2362
558	2988	2357
559	2992	2351
560	2998	2346
561	3004	2341
562	3009	2335
563	3013	2329
564	3018	2323
565	3024	2319
566	3029	2313
567	3035	2308
568	3041	2303
569	3046	2298
570	3051	2292
571	3056	2287
572	3062	2281
573	3068	2277
574	3073	2271
575	3078	2266
576	3084	2261
577	3091	2256
578	3096	2251
579	3102	2246
580	3107	2241
581	3112	2235
582	3117	2229
583	3123	2224
584	3128	2219
585	3132	2213
586	3137	2207
587	3142	2202
588	3147	2196
589	3152	2190
590	3158	2185
591	3164	2181
592	3169	2175
593	3174	2169
594	3179	2164
595	3185	2159
596	3191	2154
597	3195	2148
598	3201	2142
599	3205	2136
600	3210	2131
601	3216	2126
602	3221	2120
603	3227	2115
604	3232	2110
605	3237	2104
606	3242	2099
607	3247	2093
608	3253	2088
609	3258	2083
610	3264	2078
611	3270	2073
612	3275	2067
613	3280	2062
614	3287	2057
615	3291	2052
616	3296	2046
617	3301	2040
618	3306	2035
619	3311	2029
620	3316	2024
621	3322	2018
622	3327	2013
623	3333	2008
624	3338	2003
625	3344	1997
626	3349	1992
627	3355	1987
628	3361	1982
629	3366	1977
630	3371	1971
631	3377	1966
632	3382	1961
633	3387	1955
634	3392	1950
635	3397	1944
636	3402	1939
637	3408	1933
638	3414	1928
639	3419	1923
640	3425	1918
641	3431	1913
642	3436	1908
643	3441	1902
644	3447	1897
645	3452	1892
646	3457	1886
647	3463	1881
648	3468	1876
649	3473	1870
650	3479	1865
651	3483	1859
652	3489	1854
653	3494	1848
654	3500	1843
655	3505	1838
656	3512	1833
657	3517	1828
658	3523	1823
659	3527	1817
660	3533	1812
661	3538	1806
662	3543	1801
663	3548	1795
664	3553	1790
665	3559	1784
666	3564	1779
667	3570	1774
668	3575	1768
669	3581	1764
670	3586	1758
671	3591	1753
672	3596	1747
673	3602	1742
674	3607	1737
675	3613	1731
676	3617	1726
677	3623	1720
678	3629	1715
679	3634	1710
680	3640	1705
681	3644	1699
682	3651	1694
683	3656	1689
684	3662	1684
685	3668	1679
686	3674	1674
687	3679	1668
688	3684	1663
689	3691	1658
690	3695	1652
691	3700	1647
692	3704	1641
693	3709	1635
694	3715	1630
695	3720	1624
696	3725	1619
697	3731	1614
698	3736	1608
699	3741	1603
700	3746	1598
701	3752	1592
702	3757	1587
703	3762	1582
704	3768	1576
705	3773	1571
706	3778	1566
707	3784	1560
708	3790	1555
709	3794	1550
710	3800	1544
711	3805	1539
712	3810	1533
713	3818	1529
714	3825	1525
715	3831	1519
716	3836	1514
717	3841	1508
718	3846	1503
719	3851	1497
720	3856	1492
721	3861	1486
722	3867	1481
723	3872	1476
724	3877	1470
725	3883	1465
726	3888	1460
727	3893	1454
728	3898	1449
729	3903	1443
730	3908	1438
731	3913	1432
732	3918	1427
733	3923	1421
734	3929	1416
735	3934	1411
736	3940	1406
737	3945	1400
738	3951	1395
739	3956	1390
740	3961	1384
741	3966	1379
742	3971	1373
743	3977	1368
744	3982	1363
745	3988	1357
746	3993	1352
747	3998	1347
748	4004	1341
749	4009	1336
750	4014	1331
751	4020	1326
752	4026	1320
753	4030	1315
754	4035	1309
755	4040	1304
756	4046	1298
757	4051	1293
758	4056	1287
759	4060	1282
760	4066	1277
761	4071	1271
762	4076	1266
763	4081	1260
764	4087	1255
765	4092	1250
766	4098	1244
767	4103	1239
768	4107	1233
769	4112	1228
770	4117	1222
771	4122	1217
772	4127	1212
773	4133	1206
774	4138	1201
775	4144	1196
776	4149	1190
777	4154	1185
778	4159	1180
779	4164	1174
780	4169	1169
781	4174	1163
782	4179	1158
