iter	RMSE
155	828.8763458
156	826.226762
157	824.2731538
158	822.7135574
159	819.9509737
160	818.0532438
161	814.5339748
162	812.7942416
163	811.1288123
164	807.7580178
165	806.2073613
166	803.9769007
167	802.1544986
168	799.0111566
169	796.5509661
170	794.7567797
171	789.4094654
172	787.7489644
173	785.4556286
174	784.0709346
175	782.8489553
176	781.3656577
177	779.2787617
178	775.5166503
179	774.4859345
180	773.2316557
181	772.0877573
182	770.2711054
183	766.9859362
184	765.6188021
185	763.9122856
186	762.6999276
187	760.4518202
188	757.8799906
189	756.7027796
190	755.4847048
191	753.4898418
192	752.2127636
193	750.0039022
194	747.6828765
195	746.8607909
196	741.3696173
197	740.1096003
198	737.5109878
199	734.4431605
200	732.4364045
201	730.7377757
202	729.3309508
203	727.88561
204	727.1735248
205	722.7060659
206	720.0714162
207	719.0481978
208	715.8804874
209	714.4964651
210	713.1230739
211	711.3793944
212	709.3929961
213	708.4012508
214	707.0755148
215	703.129281
216	701.3574411
217	698.8191583
218	696.8887626
219	696.2127004
220	694.9510795
221	693.7703824
222	691.0404374
223	690.1528015
224	689.6522845
225	688.4621376
226	687.3303515
227	684.983739
228	682.9246699
229	681.9355362
230	681.087324
231	679.8424499
232	677.9075051
233	677.2185178
234	676.4436156
235	675.451629
236	674.1982255
237	672.61202
238	671.9062137
239	671.1585592
240	670.7962788
241	669.2403265
242	667.8415877
243	664.4474073
244	663.5425146
245	661.6637369
246	660.2738909
247	659.4036015
248	658.8757786
249	658.1642448
250	656.9500742
251	655.4922759
252	654.253413
253	653.8192613
254	652.4431139
255	650.5525005
256	649.5547174
257	648.7196834
258	647.9392234
259	645.4517458
260	644.8606219
261	643.7228904
262	642.906786
263	641.9048638
264	640.5127299
265	639.6552309
266	639.0823406
267	638.066469
268	636.3812434
269	635.8281278
270	635.0848289
271	633.9477877
272	631.9326323
273	631.4409117
274	630.0419489
275	628.8369117
276	628.4363614
277	627.6622858
278	626.0871506
279	625.5240356
280	624.2341571
281	623.2369379
282	621.4079791
283	620.526271
284	619.5993274
285	617.5738669
286	616.9804791
287	616.0635131
288	615.387564
289	613.4507972
290	612.7238006
291	612.1456716
292	611.1366136
293	610.7456531
294	609.6898885
295	609.3862518
296	608.6703095
297	607.4952615
298	606.8381046
299	605.8828369
300	603.9709471
301	603.3026022
302	602.7046289
303	602.2897991
304	601.3307751
305	600.7946817
306	599.7542313
307	599.0123366
308	597.6287101
309	596.4688005
310	596.0180958
311	595.4378108
312	594.8669247
313	594.2504658
314	593.0279391
315	592.1063311
316	591.64588
317	590.4665452
318	588.8190671
319	588.184139
320	587.6604121
321	586.7379333
322	586.2035038
323	584.7383409
324	583.5546468
325	582.9907489
326	582.107879
327	580.8023695
328	580.116981
329	579.0488016
330	578.0351775
331	577.7195031
332	577.0866335
333	576.4835703
334	576.0244393
335	575.4040969
336	575.0602009
337	574.0878234
338	573.5405014
339	572.697294
340	571.8599707
341	571.1179636
342	570.6908743
343	570.2522859
344	569.9831956
345	569.4607765
346	569.0624049
347	568.5004174
348	568.1060563
349	567.3610076
350	566.6036229
351	564.8282771
352	564.3266626
353	563.6994298
354	562.7886503
355	562.2914123
356	561.3268757
357	560.5767887
358	559.8117803
359	558.7524439
360	558.1726591
361	557.4215198
362	556.9762032
363	555.3969754
364	554.4736774
365	554.0931552
366	553.7735312
367	553.204409
368	552.5682305
369	552.1770457
370	551.6779168
371	550.7403752
372	550.383546
373	549.9144979
374	548.770799
375	548.3375689
376	547.9299083
377	547.3637478
378	546.8001426
379	545.9128449
380	545.3797414
381	544.952744
382	544.5562066
383	544.0427254
384	543.4210144
385	542.8953294
386	542.3378519
387	541.5967788
388	541.2341432
389	540.617085
390	539.9019946
391	539.5304538
392	538.6456744
393	538.3747051
394	537.275765
395	536.8153564
396	536.4407493
397	536.1922919
398	535.8955123
399	534.9835419
400	534.377224
401	533.9203736
402	533.562431
403	533.256821
404	532.977532
405	532.5667202
406	532.0270846
407	531.749858
408	530.8330782
409	530.0628354
410	529.7784873
411	529.2906192
412	528.4032456
413	528.1120342
414	527.7613956
415	527.4333923
416	526.7851688
417	526.3825286
418	526.0694015
419	525.7983036
420	525.2603241
421	525.1177511
422	524.3498974
423	523.8843448
424	523.5975839
425	523.2360488
426	523.0186974
427	522.6338332
428	522.1224881
429	521.6220292
430	521.0028205
431	520.4727283
432	520.2002891
433	519.9357382
434	519.4570399
435	518.9758866
436	518.5000977
437	518.0537061
438	517.7217416
439	517.2897382
440	517.0217304
441	516.588227
442	516.1983792
443	515.518932
444	515.0484244
445	514.3743335
446	513.6927322
447	513.3885629
448	512.8874777
449	512.6705123
450	512.0331673
451	511.7257929
452	511.4089093
453	510.875096
454	510.717034
455	510.3896163
456	509.9162324
457	509.7049014
458	509.1327955
459	508.8353152
460	508.4935677
461	508.1908494
462	507.9239549
463	507.662884
464	507.158508
465	506.76812
466	506.2972427
467	505.8449692
468	505.5696475
469	505.2825992
470	505.0170693
471	504.5854327
472	504.1280442
473	503.8904996
474	503.5967309
475	503.2122061
476	502.7476238
477	502.4905987
478	502.1060379
479	501.6059928
480	501.2896317
481	500.8054486
482	500.4951869
483	500.2551639
484	499.5804731
485	499.2490789
486	498.905027
487	498.6259479
488	498.1382395
489	497.4894595
490	497.2521415
491	496.9420711
492	496.4713878
493	496.1038682
494	495.877288
495	495.5682602
496	495.3567147
497	494.9879041
498	494.6924314
499	494.3028177
500	494.1035122
501	493.7920181
502	493.4457974
503	492.9078361
504	492.7266049
505	492.5035825
506	492.0651667
507	491.8081311
508	491.6264893
509	491.2284469
510	491.0316936
511	490.6689687
512	490.3694237
513	490.0422289
514	489.7436775
515	489.5096126
516	489.3336476
517	489.130357
518	488.7862929
519	488.4088665
520	488.128936
521	487.9818316
522	487.7669535
523	487.3996973
524	487.087353
525	486.772499
526	486.4375785
527	486.2178041
528	485.9440598
529	485.5999538
530	485.3737198
531	485.2408591
532	484.9675531
533	484.7979221
534	484.3998584
535	484.0152902
536	483.7036146
537	483.4844461
538	483.2401582
539	482.8386934
540	482.2645236
541	481.8330705
542	481.5061469
543	481.2387701
544	480.7928518
545	480.4089095
546	480.2161578
547	479.8618523
548	479.6646816
549	479.2353764
550	478.7050275
551	478.4917975
552	478.0941557
553	477.6778047
554	477.5154192
555	477.2552804
556	476.9203642
557	476.6460206
558	476.4793943
559	476.2395547
560	475.9012773
561	475.6706415
562	475.5355029
563	475.4082053
564	475.2101172
565	474.7232141
566	474.56178
567	474.1963738
568	473.8362207
569	473.6465791
570	473.4720568
571	473.1962055
572	472.8342087
573	472.3541781
574	472.1764771
575	471.8604009
576	471.2986508
577	470.9784397
578	470.5547994
579	470.4131407
580	470.0097495
581	469.8456028
582	469.7122502
583	469.3069407
584	469.1846771
585	469.0066809
586	468.7670658
587	468.578747
588	468.2857106
589	468.1676462
590	467.8789384
591	467.5786181
592	467.4401649
593	467.2574804
594	466.9889297
595	466.6952132
596	466.3390537
597	466.2227271
598	465.9878441
599	465.8945549
600	465.7347025
601	465.1694097
602	464.9701116
603	464.6182541
604	464.3586928
605	464.1171044
606	463.7991033
607	463.4602976
608	463.0981118
609	462.8253535
610	461.7595292
611	461.5224389
612	461.3011216
613	461.1407221
614	460.8338912
615	460.6492696
616	460.5510075
617	460.4370432
618	460.2894175
619	460.1326373
620	460.0525869
621	459.7615667
622	459.432768
623	459.2417764
624	458.921525
625	458.7002499
626	458.5574262
627	458.0662057
628	457.8845738
629	457.5345226
630	457.3945355
631	457.2176691
632	456.8729051
633	456.7825302
634	456.6510048
635	456.4129867
636	456.189205
637	456.036659
638	455.7437462
639	455.3964519
640	455.1081991
641	454.8201099
642	454.5875289
643	454.3593099
644	454.0017502
645	453.8504403
646	453.7276432
647	453.5326827
648	453.3756414
649	453.1982301
650	453.0293356
651	452.9443722
652	452.6566841
653	452.3210513
654	452.1731767
655	451.9417342
656	451.6837386
657	451.5074708
658	451.3848369
659	451.259897
660	451.1440707
661	451.0477786
662	450.9430612
663	450.7415043
664	450.5472526
665	450.4277468
666	450.2743102
667	450.0481264
668	449.9015332
669	449.6946746
670	449.4485047
671	449.1645573
672	448.9820335
673	448.7309019
674	448.5858563
675	448.3580462
676	448.2945497
677	448.1665575
678	447.9650627
679	447.745437
680	447.6170958
681	447.3408933
682	447.0482141
683	446.8301148
684	446.2752033
685	446.091113
686	445.8661848
687	445.6722607
688	445.4281118
689	445.1838083
690	445.1286852
691	444.9688836
692	444.7851153
693	444.6666483
694	444.1914156
695	444.0374828
696	443.8765091
697	443.745271
698	443.578138
699	443.4410122
700	443.2743894
701	443.096454
702	442.9261359
703	442.7591744
704	442.5277021
705	442.3042014
706	442.064684
707	441.8610601
708	441.6718935
709	441.5834824
710	441.3594116
711	441.2086786
712	441.0508382
713	440.9035488
714	440.7989159
715	440.6468031
716	440.5101562
717	440.2683385
718	440.1709886
719	439.988487
720	439.9016076
721	439.7179488
722	439.5572677
723	439.4172262
724	439.2734368
725	439.1489944
726	439.0344832
727	438.7976575
728	438.6774399
729	438.5316081
730	438.3783802
731	438.1755428
732	438.0136714
733	437.6977083
734	437.48067
735	436.9070648
736	436.7910844
737	436.6712989
738	436.5454792
739	436.4197289
740	436.2203504
741	435.8805949
742	435.8121181
743	435.6113323
744	435.4638707
745	435.3715102
746	435.182574
747	435.1177547
748	434.9819778
749	434.8551283
750	434.6676005
751	434.4341861
752	434.1467782
753	434.0050364
754	433.84441
755	433.72527
756	433.5315153
757	433.3785774
758	433.3212476
759	433.273238
760	433.173994
761	433.0350242
762	432.7089254
763	432.5268289
764	432.3720406
765	432.2194171
766	432.1309563
767	432.0067817
768	431.9118923
769	431.7942303
770	431.6899472
771	431.562066
772	431.3744166
773	431.114599
774	430.9925901
775	430.6611117
776	430.4962721
777	430.2811298
778	430.1646992
779	430.0305339
780	429.9138596
781	429.8436456
782	429.5734967
783	429.4763677
784	429.2906519
785	429.080165
786	428.9004185
787	428.8003111
788	428.6293099
789	428.5124392
790	428.3913009
791	428.2732176
792	428.1928575
793	428.1091096
794	427.9783131
795	427.8893368
796	427.7533244
797	427.6720362
798	427.5130206
799	427.4507468
800	427.3414002
801	427.2515113
802	427.0643791
803	426.8762252
804	426.6466493
805	426.5507808
806	426.4436049
807	426.3649862
808	426.2754741
809	426.1620636
810	426.0713502
811	425.9170926
812	425.7961854
813	425.7369955
814	425.6575721
815	425.5672325
816	425.185339
817	425.0846909
818	424.9647387
819	424.8497164
820	424.5341602
821	424.4416589
822	424.3307263
823	424.1904822
824	424.0508824
825	423.9626939
826	423.8614801
827	423.769323
828	423.6662994
829	423.503434
830	423.3650826
831	423.2547153
832	423.0091906
833	422.8709282
834	422.7449738
835	422.2947535
836	422.2295643
837	422.1110529
838	421.9728364
839	421.9021782
840	421.7663368
841	421.6606527
842	421.5945389
843	421.4853534
844	421.3294932
845	421.2346455
846	421.1399449
847	420.995434
848	420.8336111
849	420.7441299
850	420.5624427
851	420.3931802
852	420.2468788
853	420.1208822
854	420.0532301
855	419.9055297
856	419.7117287
857	419.6475611
858	419.5724146
859	419.4964589
860	419.3730211
861	419.2861785
862	419.1194021
863	419.0538161
864	419.0021173
865	418.9391647
866	418.8314701
867	418.666271
868	418.5716828
869	418.3917063
870	418.2838896
871	418.0171265
872	417.8809022
873	417.7725222
874	417.5024637
875	417.317256
876	417.2488508
877	417.1695146
878	416.8646976
879	416.7938562
880	416.5362148
881	416.4633879
882	416.1207257
883	416.0214246
884	415.8772115
885	415.7877486
886	415.5853625
887	415.5292463
888	415.4358439
889	415.1738079
890	415.0865001
891	414.9229782
892	414.7096381
893	414.6286977
894	414.5174644
895	414.4343118
896	414.3178365
897	414.2260699
898	414.1522099
899	414.0409208
900	413.9514776
901	413.8140903
902	413.7463276
903	413.5963446
904	413.5401628
905	413.4654863
906	413.3931151
907	413.3188938
908	413.1920041
909	413.1155697
910	412.8672418
911	412.7819242
912	412.7206397
913	412.5889078
914	412.4347625
915	412.3034514
916	412.127761
917	411.9821784
918	411.8072799
919	411.739753
920	411.6664251
921	411.569894
922	411.5063235
923	411.3610857
924	411.2264314
925	411.1491403
926	410.985008
927	410.8794867
928	410.8206251
929	410.6637167
930	410.518086
931	410.4604636
932	410.3410119
933	410.2055093
934	410.1139364
935	410.0409421
936	409.9550134
937	409.6018751
938	409.5097617
939	409.32504
940	409.2092515
941	409.0960569
942	409.04173
943	408.9760165
944	408.9443867
945	408.8744983
946	408.808137
947	408.7537603
948	408.5868871
949	408.4845145
950	408.3729018
951	408.2834213
952	408.2055952
953	408.1188482
954	408.0461194
955	407.9745799
956	407.841446
957	407.6804846
958	407.6333972
959	407.5459943
960	407.4801726
961	407.3934771
962	407.2324363
963	407.1676711
964	407.1154293
965	406.9875828
966	406.902095
967	406.8526422
968	406.7435891
969	406.6764591
970	406.5878891
971	406.465362
972	406.3647027
973	406.1324799
974	405.9902031
975	405.923634
976	405.8420905
977	405.7377678
978	405.6216185
979	405.4181688
980	405.3259289
981	405.2742852
982	405.1556524
983	405.0189747
984	404.9045384
985	404.8159888
986	404.6956604
987	404.6354156
988	404.5429853
989	404.4553831
990	404.331453
991	404.2481286
992	404.1738573
993	404.0828166
994	404.0075435
995	403.9604123
996	403.8425943
997	403.7949171
998	403.6980809
999	403.6063566
